name,positions,rating,club,league,nationality
Kylian Mbappé,ST;LW,91,Real Madrid,LALIGA EA SPORTS,France
Rodri,CDM;CM,91,Manchester City,Premier League,Spain
Erling Haaland,ST,91,Manchester City,Premier League,Norway
Jude Bellingham,CAM;CM,90,Real Madrid,LALIGA EA SPORTS,England
Vini Jr.,LW;ST;LM,90,Real Madrid,LALIGA EA SPORTS,Brazil
Kevin De Bruyne,CM;CAM,90,Manchester City,Premier League,Belgium
Harry Kane,ST,90,FC Bayern München,Bundesliga,England
Martin Ødegaard,CM;CAM,89,Arsenal,Premier League,Norway
Gianluigi Donnarumma,GK,89,Paris SG,Ligue 1 McDonald's,Italy
Alisson,GK,89,Liverpool,Premier League,Brazil
Thibaut Courtois,GK,89,Real Madrid,LALIGA EA SPORTS,Belgium
Lautaro Martínez,ST,89,Lombardia FC,Serie A Enilive,Argentina
Virgil van Dijk,CB,89,Liverpool,Premier League,Holland
Marc-André ter Stegen,GK,89,FC Barcelona,LALIGA EA SPORTS,Germany
Mohamed Salah,RW;RM,89,Liverpool,Premier League,Egypt
Phil Foden,RW;LW;CAM;RM,88,Manchester City,Premier League,England
Lionel Messi,RW;ST;CAM;RM,88,Inter Miami CF,MLS,Argentina
Antoine Griezmann,ST,88,Atlético de Madrid,LALIGA EA SPORTS,France
Rúben Dias,CB,88,Manchester City,Premier League,Portugal
Robert Lewandowski,ST,88,FC Barcelona,LALIGA EA SPORTS,Poland
Federico Valverde,CM;RM,88,Real Madrid,LALIGA EA SPORTS,Uruguay
Ederson,GK,88,Manchester City,Premier League,Brazil
Bernardo Silva,CM;RW,88,Manchester City,Premier League,Portugal
Jan Oblak,GK,88,Atlético de Madrid,LALIGA EA SPORTS,Slovenia
Antonio Rüdiger,CB,88,Real Madrid,LALIGA EA SPORTS,Germany
Florian Wirtz,CAM;LM,88,Leverkusen,Bundesliga,Germany
Gregor Kobel,GK,88,Borussia Dortmund,Bundesliga,Switzerland
William Saliba,CB,87,Arsenal,Premier League,France
Victor Osimhen,ST,87,SSC Napoli,Serie A Enilive,Nigeria
Jamal Musiala,CAM;LM;CM,87,FC Bayern München,Bundesliga,Germany
Bukayo Saka,RW;RM,87,Arsenal,Premier League,England
Paulo Dybala,CAM;ST,87,AS Roma,Serie A Enilive,Argentina
