name,positions,rating,club,league,nationality
Rodri,CDM,91,Manchester City,Premier League,Spain
Mohamed Salah,RW,91,Liverpool,Premier League,Egypt
Jude Bellingham,CAM,90,Real Madrid,La Liga,England
Erling Haaland,ST,90,Manchester City,Premier League,Norway
Vini Jr.,LW,90,Real Madrid,La Liga,Brazil
Kylian Mbappe,ST,90,Real Madrid,La Liga,France
Virgil van Dijk,CB,90,Liverpool,Premier League,Netherlands
Harry Kane,ST,90,FC Bayern München,Bundesliga,England
Florian Wirtz,CAM,89,Bayer 04 Leverkusen,Bundesliga,Germany
Alisson,GK,89,Liverpool,Premier League,Brazil
Kevin De Bruyne,CM,89,Manchester City,Premier League,Belgium
Thibaut Courtois,GK,89,Real Madrid,La Liga,Belgium
Robert Lewandowski,ST,89,FC Barcelona,La Liga,Poland
Jamal Musiala,CAM,88,FC Bayern München,Bundesliga,Germany
Bukayo Saka,RW,88,Arsenal,Premier League,England
Federico Valverde,CM,88,Real Madrid,La Liga,Uruguay
Raphinha,RW,88,FC Barcelona,La Liga,Brazil
Lautaro Martinez,ST,88,Inter,Serie A,Argentina
Joshua Kimmich,RB,88,FC Bayern München,Bundesliga,Germany
Antonio Rudiger,CB,88,Real Madrid,La Liga,Germany
Jan Oblak,GK,88,Atlético Madrid,La Liga,Slovenia
Marc-Andre ter Stegen,GK,88,FC Barcelona,La Liga,Germany
Cole Palmer,RM,87,Chelsea,Premier League,England
Pedri,CM,87,FC Barcelona,La Liga,Spain
William Saliba,CB,87,Arsenal,Premier League,France
Alessandro Bastoni,CB,87,Inter,Serie A,Italy
Declan Rice,CDM,87,Arsenal,Premier League,England
Gabriel,CB,87,Arsenal,Premier League,Brazil
Ousmane Dembele,RW,87,Paris Saint-Germain,Ligue 1,France
Gianluigi Donnarumma,GK,87,Paris Saint-Germain,Ligue 1,Italy
Nicolo Barella,CM,87,Inter,Serie A,Italy
Martin Ødegaard,CM,87,Arsenal,Premier League,Norway
Mike Maignan,GK,87,AC Milan,Serie A,France
Jonathan Tah,CB,87,Bayer 04 Leverkusen,Bundesliga,Germany
Marquinhos,CB,87,Paris Saint-Germain,Ligue 1,Brazil
Marquinhos,LW,87,Paris Saint-Germain,Ligue 1,Brazil
Antoine Griezmann,ST,87,Atlético Madrid,La Liga,France
Yann Sommer,GK,87,Inter,Serie A,Switzerland
Lionel Messi,RW,87,Inter Miami,Major League Soccer,Argentina
Lamine Yamal,RW,86,FC Barcelona,La Liga,Spain
Rodrygo,RW,86,Real Madrid,La Liga,Brazil
Jules Kounde,RB,86,FC Barcelona,La Liga,France
Alexis Mac Allister,CM,86,Liverpool,Premier League,Argentina
Ruben Dias,CB,86,Manchester City,Premier League,Portugal
Bremer,CB,86,Juventus,Serie A,Brazil
Phil Foden,RW,86,Manchester City,Premier League,England
Achraf Hakimi,RB,86,Paris Saint-Germain,Ligue 1,Morocco
Gregor Kobel,GK,86,Borussia Dortmund,Bundesliga,Switzerland
Alexander Isak,ST,86,Newcastle United,Premier League,Sweden
Theo Hernandez,LB,86,AC Milan,Serie A,France
Trent Alexander-Arnold,RB,86,Liverpool,Premier League,England
Frenkie de Jong,CM,86,FC Barcelona,La Liga,Netherlands
David Raya,GK,86,Arsenal,Premier League,Spain
Serhou Guirassy,ST,86,Borussia Dortmund,Bundesliga,Guinea
Bruno Fernandes,CAM,86,Manchester United,Premier League,Portugal
Paulo Dybala,CAM,86,Roma,Serie A,Argentina
Ederson,GK,86,Manchester City,Premier League,Brazil
Hakan Calhanoglu,CDM,86,Inter,Serie A,Turkey
Carvajal,RB,86,Real Madrid,La Liga,Spain
Emiliano Martinez,GK,86,Aston Villa,Premier League,Argentina
Emiliano Martinez,CDM,86,Aston Villa,Premier League,Argentina
Heung Min Son,ST,86,Tottenham Hotspur,Premier League,Korea Republic
Granit Xhaka,CDM,86,Bayer 04 Leverkusen,Bundesliga,Switzerland
Giorgi Mamardashvili,GK,85,Valencia CF,La Liga,Georgia
Nico Williams,LM,85,Athletic Club,La Liga,Spain
Moises Caicedo,CDM,85,Chelsea,Premier League,Ecuador
Vitinha,CM,85,Paris Saint-Germain,Ligue 1,Portugal
Vitinha,ST,85,Paris Saint-Germain,Ligue 1,Portugal
Ronald Araujo,CB,85,FC Barcelona,La Liga,Uruguay
Bruno Guimaraes,CDM,85,Newcastle United,Premier League,Brazil
Michael Olise,RM,85,FC Bayern München,Bundesliga,France
Nico Schlotterbeck,CB,85,Borussia Dortmund,Bundesliga,Germany
Khvicha Kvaratskhelia,LW,85,Paris Saint-Germain,Ligue 1,Georgia
Dani Olmo,CAM,85,FC Barcelona,La Liga,Spain
Rafael Leao,LW,85,AC Milan,Serie A,Portugal
Sandro Tonali,CDM,85,Newcastle United,Premier League,Italy
Luis Diaz,LW,85,Liverpool,Premier League,Colombia
Eder Militao,CB,85,Real Madrid,La Liga,Brazil
Ibrahima Konate,CB,85,Liverpool,Premier League,France
Unai Simon,GK,85,Athletic Club,La Liga,Spain
Dayot Upamecano,CB,85,FC Bayern München,Bundesliga,France
Federico Dimarco,LB,85,Inter,Serie A,Italy
Bernardo Silva,CM,85,Manchester City,Premier League,Portugal
Grimaldo,LM,85,Bayer 04 Leverkusen,Bundesliga,Spain
Luka Modric,CM,85,Real Madrid,La Liga,Croatia
Joao Neves,CM,84,Paris Saint-Germain,Ligue 1,Portugal
Omar Marmoush,ST,84,Manchester City,Premier League,Egypt
Jeremie Frimpong,RM,84,Bayer 04 Leverkusen,Bundesliga,Netherlands
Josko Gvardiol,LB,84,Manchester City,Premier League,Croatia
Dejan Kulusevski,RM,84,Tottenham Hotspur,Premier League,Sweden
Ryan Gravenberch,CM,84,Liverpool,Premier League,Netherlands
Xavi Simons,CAM,84,RB Leipzig,Bundesliga,Netherlands
Lois Openda,ST,84,RB Leipzig,Bundesliga,Belgium
Cody Gakpo,ST,84,Liverpool,Premier League,Netherlands
Aurelien Tchouameni,CDM,84,Real Madrid,La Liga,France
Tijjani Reijnders,CM,84,AC Milan,Serie A,Netherlands
Alphonso Davies,LB,84,FC Bayern München,Bundesliga,Canada
Patrik Schick,ST,84,Bayer 04 Leverkusen,Bundesliga,Czechia
Benjamin White,RB,84,Arsenal,Premier League,England
Exequiel Palacios,CM,84,Bayer 04 Leverkusen,Bundesliga,Argentina
Ademola Lookman,ST,84,Atalanta,Serie A,Nigeria
Marcus Thuram,ST,84,Inter,Serie A,France
Christian Pulisic,RW,84,AC Milan,Serie A,United States
Alex Remiro,GK,84,Real Sociedad,La Liga,Spain
Benjamin Pavard,CB,84,Inter,Serie A,France
Mikel Merino,CM,84,Arsenal,Premier League,Spain
Diogo Jota,ST,84,Liverpool,Premier League,Portugal
Leroy Sane,RM,84,FC Bayern München,Bundesliga,Germany
Ollie Watkins,ST,84,Aston Villa,Premier League,England
James Maddison,CAM,84,Tottenham Hotspur,Premier League,England
Kingsley Coman,LM,84,FC Bayern München,Bundesliga,France
Rodrigo De Paul,CM,84,Atlético Madrid,La Liga,Argentina
