name,positions,rating,nationality,club,league
A,CDM; CM,63,Chile,Club Deportivo Palestino,Primera Division
A Lan,ST; LW; LM,77,China PR,Guangzhou Evergrande,Super League
A. Abang,ST,51,Cameroon,New York Red Bulls,Major League Soccer
A. Abass,GK,52,Ghana,Limerick FC,Premier Division
A. Abaz,GK,49,Switzerland,St. Gallen,Super League
A. Abbas,LM; CM; LB,63,Iraq,Sydney FC,A-League
A. Abdallah,CB,52,France,Troyes,Ligue 2
A. Abdellaoui,CB,56,Algeria,FC Sion,Super League
A. Abdennour,CB,80,Tunisia,AS Monaco,Ligue 1
A. Abdi,CAM; CM,72,Switzerland,Watford,Championship
A. Abdijanovic,ST; CF; CAM,56,Austria,Rheindorf Altach,Bundesliga
A. Abdu,ST,65,Eritrea,Al Wahda,Pro League
A. Abdu Jaber,ST,63,Eritrea,Al Wehda,Pro League
A. Abdugheni,RB,55,China PR,Jiangsu Suning,Super League
A. Abdul Sattar,GK,62,Jordan,Al Ittifaq,Pro League
A. Abdulai,CDM; CM,54,England,Swansea City,Championship
A. Abdulhameed,GK,56,Saudi Arabia,Al Hazem,Pro League
A. Abdullah,GK,55,Saudi Arabia,Al Raed,Pro League
A. Abdulraouf,ST,50,Saudi Arabia,Al Khaleej,Pro League
A. Abdurasul,CM,48,China PR,Shandong Luneng,Super League
A. Abdusalam,LM,53,China PR,Hangzhou,Super League
A. Abeddou,CAM,60,France,USL Dunkerque,Ligue 2
A. Abedzadeh,GK,62,Iran,Clube Sport Marítimo,Liga Portugal
A. Abeid,LB; LM; CB,65,Mauritania,Levante,La Liga
A. Aberkane,RB; CB,59,Netherlands,Sparta Rotterdam,Eredivisie
A. Abibi,GK,52,Albania,Dundalk,Premier Division
A. Abid,RW; LW; CAM,58,Belgium,Genk,Jupiler Pro League
A. Ablet,LWB; LW,59,China PR,Henan Songshan Longmen FC,Super League
A. Abo Shaqra,RB; CB,61,Saudi Arabia,Al Fateh,Pro League
A. Abo Skraa,RB; CB,61,Saudi Arabia,Al Fateh,Pro League
A. Aboshaqra,RB; CB,65,Saudi Arabia,Al Fateh,Pro League
A. Abou,CM; RM,56,Morocco,SPAL,Serie B
A. Abqar,CB,62,Morocco,Málaga CF,La Liga 2
A. Abrahamsson,CB,54,Sweden,Djurgårdens IF,Allsvenskan
A. Abrahamssons,CB,54,Sweden,Djurgården,Allsvenskan
A. Abrashi,CDM; CM,64,Albania,Grasshopper Club Zürich,Super League
A. Abruscia,CAM; RM,63,Italy,TSV 1860 München,3. Liga
A. Absalem,LB,58,Netherlands,FC Groningen,Eredivisie
A. Abubakar,RM,51,Nigeria,FK Haugesund,Eliteserien
A. Accardi,CB,55,Italy,Trapani,Serie B
A. Acevedo,CB; CDM,69,Chile,CD O'Higgins,Primera Division
A. Achahbar,ST; RW,64,Netherlands,Feyenoord,Eredivisie
A. Achaoui,LB,58,Morocco,Standard de Liège,Jupiler Pro League
A. Achinioti-Jönsson,CDM,58,Sweden,Helsingborgs IF,Allsvenskan
A. Acosta,CB,58,Colombia,Uniautónoma FC,Liga BetPlay
A. Acosta Luna,GK,57,Argentina,Club Atlético Lanús,Liga Profesional
A. Acquah,CM; CDM,71,Ghana,Parma,Serie A
A. Ada,CDM; CM,58,Saudi Arabia,Al Taawoun,Pro League
A. Adam,CM,53,France,Royal Charleroi S.C.,Jupiler Pro League
A. Adamov,RB; LB,55,Russia,Terek Grozny,Premier League
A. Adams,CB; CDM,61,Ghana,Al Shoulla,Pro League
A. Adanuy,GK,70,Chile,CD Huachipato,Primera Division
A. Addai,ST; RM,55,England,Cheltenham Town,League Two
A. Adebia,CDM; CM,63,Chile,Coquimbo Unido,Primera Division
A. Adeleye,CB,67,Nigeria,SKA Khabarovsk,Premier League
A. Adelgaard,LB,55,Denmark,OB,Superliga
A. Ademi,CDM; CM,72,North Macedonia,Dinamo Zagreb,1. HNL
A. Ademoglu,CM; CAM,58,Belgium,FC Schalke 04,Bundesliga
A. Adencibia,CDM; CM,63,Chile,Club Deportivo Palestino,Primera Division
A. Adetula,LM; RM,57,Germany,Eintracht Braunschweig,3. Liga
A. Adhikari,CM,49,India,Kerala Blasters,Super League
A. Adilovic,GK,49,Austria,SV Grödig,Bundesliga
A. Adli,LM,62,France,Toulouse,Ligue 1
A. Adnan,LB,73,Iraq,Çaykur Rizespor,Super Lig
A. Adomah,RM; RW,71,Ghana,Middlesbrough,Championship
A. Adorante,ST; LW,64,Italy,Parma,Serie A
A. Adouyev,CAM,62,France,Montpellier Hérault SC,Ligue 1
A. Affane,LM; RM; CAM,65,Sweden,DSC Arminia Bielefeld,2. Bundesliga
A. Afif,LW; ST,69,Qatar,Real Sporting de Gijón,La Liga
A. Aganovic,CB,56,Sweden,Galway United,Premier Division
A. Aganović,CAM; CM,63,Croatia,Sepsi,Liga 1
A. Agbetu,CF; ST,60,Nigeria,Le Havre AC,Ligue 2
A. Agbowo,CM,51,Germany,1860 München,3. Liga
A. Ageev,RW; LW,57,Russia,FC Krasnodar,Premier League
A. Agostini,LB,69,Italy,Hellas Verona,Serie A
A. Agouda,ST,54,Norway,Strømsgodset IF,Eliteserien
A. Aguerre,GK,60,Argentina,Vélez Sarsfield,Liga Profesional
A. Aguilar,CDM; CB,73,Colombia,Toulouse Football Club,Ligue 1
A. Aguilmera,CB,76,Ecuador,,
A. Aguirre,RB,63,Argentina,Club Atlético Sarmiento,Liga Profesional
A. Ahamada,GK,74,France,Toulouse Football Club,Ligue 1
A. Ahl Holmström,ST,52,Sweden,Kalmar FF,Allsvenskan
A. Ahlin,GK,52,Sweden,Sirius,Allsvenskan
A. Ahmed,CM,54,Sweden,Åtvidabergs FF,Allsvenskan
A. Ahmed Fatah,LM,57,Sweden,AIK,Allsvenskan
A. Ahmedhodzic,CB,57,Sweden,Nottingham Forest,Championship
A. Ahmedhodžić,CB,63,Sweden,Malmö FF,Allsvenskan
A. Ahoussou,CB,62,Côte d'Ivoire,OGC Nice,Ligue 1
A. Aidonis,CB,62,Germany,VfB Stuttgart,Bundesliga
A. Aiki,RM; LM,58,France,Saint-Étienne,Ligue 2
A. Aires,ST; RW,59,Uruguay,Liverpool,Primera Division
A. Ait El Hadj,CAM; CF,61,Belgium,Anderlecht,Jupiler Pro League
A. Aitor García,GK,59,United States,Toronto,Major League Soccer
A. Ajagun,ST; RM; LM; CAM,69,Nigeria,Panathinaikos FC,Super League
A. Ajdarević,CAM; LM,68,Sweden,Standard de Liège,Jupiler Pro League
A. Ajdini,RM,52,Kosovo,Servette,Super League
A. Ajeti,ST,61,Switzerland,FC Basel 1893,Super League
A. Akaichi,ST,68,Tunisia,Al Ittihad,Pro League
A. Akande,ST,72,Hong Kong,Dalian Professional,Super League
A. Akaïchi,ST,68,Tunisia,Al Ittihad,Pro League
A. Akbulut,GK,55,Turkey,Trabzonspor,Super Lig
A. Akgün,CDM; CB,66,Turkey,Kardemir Karabükspor,Super Lig
A. Akhyadov,CF,49,Russia,Terek Grozny,Premier League
A. Akinfenwa,ST,62,England,AFC Wimbledon,League Two
A. Akinola,ST; LM; RM,60,United States,Toronto,Major League Soccer
A. Akinyemi,ST,61,Nigeria,IK Start,Eliteserien
A. Akishin,GK,51,Russia,SKA Khabarovsk,Premier League
A. Akkash,LB,67,Saudi Arabia,Al Nassr,Pro League
A. Akkaynak,CDM; CM,59,Germany,Bayer 04 Leverkusen,Bundesliga
A. Akman,ST,63,Turkey,NEC,Eredivisie
A. Akpan,ST,61,United States,New England Revolution,Major League Soccer
A. Aksungur,CM,48,Turkey,Denizlispor,Super Lig
A. Aktas,CAM,52,France,FC Sochaux-Montbéliard,Ligue 2
A. Aktaş,CAM; RM,55,Turkey,Kayserispor,Super Lig
A. Akurugu,LB,58,Ghana,Getafe,La Liga
A. Akçakın,ST,60,Turkey,Gençlerbirliği SK,Super Lig
A. Al Aamri,GK,58,Saudi Arabia,Al Adalh,Pro League
A. Al Abbadie,CM,47,Switzerland,Grasshopper Club Zürich,Super League
A. Al Abduassalam,CB,54,Saudi Arabia,Al Shoulla,Pro League
