name,positions,rating,nationality,club,league
Messi,RW;ST;CAM,91,Argentina,Inter Miami,MLS
Mbappé,ST;LW,92,France,Real Madrid,La Liga
Neymar,LW;CAM,91,Brazil,Al Hilal,SPL
De Bruyne,CAM;CM,91,Belgium,Manchester City,Premier League
Haaland,ST,91,Norway,Manchester City,Premier League
Modrić,CM;CAM,89,Croatia,Real Madrid,La Liga
Kanté,CDM;CM,90,France,Chelsea,Premier League
Salah,RW;LW,90,Egypt,Liverpool,Premier League
Lewandowski,ST,91,Poland,Barcelona,La Liga
Ramos,CB;RB,88,Spain,Sevilla,La Liga
Mbappé Jr.,ST;LW,85,France,Paris FC,Ligue 2
Zaniolo,CM;CAM,84,Italy,Roma,Serie A
Sancho,RW;LW,87,England,Manchester United,Premier League
De Ligt,CB,88,Netherlands,Bayern Munich,Bundesliga
Alisson,GK,90,Brazil,Liverpool,Premier League
Kroos,CM;CAM,89,Germany,Real Madrid,La Liga
Verratti,CM;CDM,88,Italy,Paris Saint-Germain,Ligue
Mbappé Sr.,ST;LW,80,France,AS Nancy,Ligue 2
Rodrigo,ST;LW,86,Spain,Leeds United,Premier League
Foden,CM;CAM,85,England,Manchester City,Premier League
Jorginho,CDM;CM,88,Italy,Chelsea,Premier League
Goretzka,CM;CDM,87,Germany,Bayern Munich,Bundesliga
Sané,LW;RW,88,Germany,Bayern Munich,Bundesliga
Benzema,ST;CAM,89,France,Al-Ittihad,SPL
Alaba,CB;LB,88,Austria,Real Madrid,La Liga
De Gea,GK,87,Spain,Manchester United,Premier League
Rodri,CDM;CM,88,Spain,Manchester City,Premier League
Jović,ST;CAM,83,Serbia,AC Milan,Serie A
Kimpembe,CB,85,France,Paris Saint-Germain,Ligue 1
Süle,CB,86,Germany,Bayern Munich,Bundesliga
Tadic,LW;RW,84,Serbia,Ajax,Eredivisie
Ederson,GK,88,Brazil,Manchester City,Premier League
Bellingham,CM;CDM,89,England,Real Madrid,La Liga
Rodríguez,CAM;CM,87,Colombia,Al-Rayyan,QSL
Insigne,LW;RW,87,Italy,Napoli,Serie A
Mendy,LB;CB,86,France,Chelsea,Premier League
Saka,LW;RW,87,England,Arsenal,Premier League
Çalhanoğlu,CAM;CM,85,Turkey,Inter Milan,Serie A
Aouar,CM;CAM,84,France,Lyon,Ligue 1
Gvardiol,CB;LB,87,Croatia,Manchester City,Premier League
Koulibaly,CB,88,Senegal,Chelsea,Premier League
Mount,CM;CAM,86,England,Chelsea,Premier League
Odegaard,CAM;CM,87,Norway,Arsenal,Premier League
Almirón,CM;CDM,83,Paraguay,Newcastle United,Premier League
Richarlison,ST;LW,85,Brazil,Tottenham Hotspur,Premier League
Ziyech,RW;CAM,85,Morocco,Chelsea,Premier League
Fabinho,CDM;CM,87,Brazil,Liverpool,Premier League
Kabak,CB,83,Turkey,Salernitana,Serie A
Gündoğan,CM;CAM,86,Germany,Barcelona,La Liga
Di María,RW;LW,85,Argentina,Juventus,Serie A
Vlahović,ST;CAM,86,Serbia,Juventus,Serie A
Thiago Silva,CB,87,Brazil,Chelsea,Premier League
Çiftçi,ST;CAM,78,Turkey,Gaziantep,Fatih Karagücü,Süper Lig
Ndombele,CM;CDM,84,France,Galatasaray,Süper Lig
Zapata,ST;CAM,85,Colombia,Atalanta,Serie A
Kjaer,CB,85,Denmark,Fenerbahçe,Süper Lig
Barella,CM;CDM,86,Italy,Inter Milan,Serie A
Sorloth,ST,83,Norway,RB Leipzig,Bundesliga
Gosens,LB;CB,84,Germany,Inter Milan,Serie A
Pulisic,LW;RW,85,USA,Chelsea,Premier League
Wu Lei,LW;RW,83,China,Shanghai Port,CSL
Çoban,CM;CDM,79,Turkey,Altay,Süper Lig
Diaz,LW;RW,84,Colombia,Liverpool,Premier League
Kabak,CB,83,Turkey,Salernitana,Serie A
Zirkzee,ST;CAM,80,Netherlands,Bayer Leverkusen,Bundesliga
Güven,ST;CAM,78,Turkey,Kayserispor,Süper Lig
Llorente,CDM;CM,84,Spain,Newcastle United,Premier League
Nkunku,CAM;ST,89,France,RB Leipzig,Bundesliga
Olmo,CAM;RW,86,Spain,RB Leipzig,Bundesliga
Milik,ST;CAM,84,Poland,Marseille,Ligue 1
Kovacić,CM;CDM,85,Croatia,Chelsea,Premier League
Zagadou,CB,83,Germany,Borussia Dortmund,Bundesliga
Gülselam,CDM;CM,77,Turkey,Çaykur Rizespor,Süper Lig
Yarmolenko,RW;LW,82,Ukraine,West Ham United,Premier League
Çetin,CB,80,Turkey,Adana Demirspor,Süper Lig
Güney,CM;CDM,78,Turkey,Hatayspor,Süper Lig
Lazaro,RB;RM,83,Austria,Inter Milan,Serie A
Ziyech,RW;CAM,85,Morocco,Chelsea,Premier League
Bakayoko,CDM;CM,83,France,AC Milan,Serie A
Güven,ST;CAM,78,Turkey,Kayserispor,Süper Lig
Ayhan,CB,81,Turkey,Sivasspor,Süper Lig
Çolak,ST;CAM,79,Turkey,Fenerbahçe,Süper Lig
Uğurcan, GK,85,Turkey,Trabzonspor,Süper Lig
Demiral,CB,84,Turkey,Al-Ahli,SPL
Yılmaz,ST;CAM,80,Turkey,Fenerbahçe,Süper Lig
Kouyaté,CDM;CM,82,Senegal,Crystal Palace,Premier League
Öztürk,CB,79,Turkey,Konyaspor,Süper Lig
